Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Josiah, Jahvari",24:35,7,11,64%,0,0,0%,6,12,50%,2,1,3,3,2,0,0,0,20
"White, Terrico",35:59,5,8,63%,1,5,20%,8,11,73%,1,2,3,2,3,0,1,1,21
"Davis, Brandon",25:42,0,2,0%,1,1,100%,0,0,0%,0,2,2,4,1,1,0,0,3
"Maldonado, Diego",4:01,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2
"Huertas, Hiram",8:42,1,1,100%,0,0,0%,1,1,100%,2,0,2,0,4,0,0,0,3
"Penn, Kleon",10:07,0,0,0%,0,0,0%,0,0,0%,0,0,0,2,3,0,1,0,0
"Clemente, Denis",18:45,0,1,0%,1,3,33%,0,0,0%,0,3,3,1,1,0,0,0,3
"Ortiz, Chris",38:18,3,8,38%,3,4,75%,7,7,100%,0,5,5,0,3,3,1,0,22
"McCauley, Ben",33:51,2,8,25%,1,3,33%,6,9,67%,0,4,4,6,1,1,0,0,13
Totals:,,19,40,48%,7,16,44%,28,40,70%,5,17,22,18,18,5,3,1,87
